Mover,Segment,U_Start,U_End,Ax,Bx,Cx,Dx,Ay,By,Cy,Dy,Length_mm,NumRawPoints
1,18,0.4649298597194388,0.4669338677354709,13670782.64920406,-87827987.72861145,188096723.6388061,-134273749.89175978,29044328.85575903,-186703607.0597244,400056651.6855156,-285734872.3788238,6.84609650361429,1.0
1,19,0.4669338677354709,0.468937875751503,32544175.89544552,-209087514.29351908,447789872.80571127,-319662707.5946005,21637435.49084622,-139115111.92120728,298139659.95109487,-212978679.42392263,5.247192287475187,2.0
1,20,0.468937875751503,0.470941883767535,-57388748.62333752,366252605.3843366,-779110638.8150153,552450334.1415,-33949360.55036921,216497852.496312,-460197388.1016492,326067170.97254366,6.5580012615938585,1.0
1,21,0.470941883767535,0.4749498997995992,23738471.6739845,-150545049.0203063,318259699.68675846,-224269948.0037271,5035220.287763277,-31842222.034259684,67128982.92284124,-47175182.419258855,8.309126655877083,2.0
1,22,0.4749498997995992,0.4769539078156312,-25302208.162152663,159218232.47630697,-333942314.94113195,233463955.37084016,-1998742.4059728389,12587491.68946591,-26417123.187450208,18478132.558287468,5.999608571952678,0.0
1,23,0.4769539078156312,0.4789579158316633,-32135286.767333403,202197722.6946077,-424054775.5248801,296441711.4370731,-12315818.42638488,77481032.87667948,-162475430.1303896,113566501.13605602,4.420107429705348,1.0
1,24,0.4789579158316633,0.4809619238476953,41944549.20704078,-261808613.93149337,544728328.9789878,-377788092.115828,17319890.88598582,-108145146.37277216,225087178.42808896,-156159777.34467033,6.220767548090917,2.0
1,25,0.4809619238476953,0.4829659318637274,-8249718.14483685,51278128.675843336,-106231190.02543308,73363018.97195813,-8470921.983449979,52725048.90033364,-109388769.2439102,75650636.38911797,6.804541817631176,0.0
1,26,0.4829659318637274,0.4869739478957915,1688694.0288732585,-10455493.830563435,21590708.85712701,-14857074.44767878,7050065.796858789,-43685402.16656357,90232870.102072,-62124188.00043267,13.157168155575109,2.0
1,27,0.4869739478957915,0.4909819639278556,-2732224.8658191017,16779549.73056604,-34336397.056468084,23424991.191393863,-6580839.003044205,40287702.71185118,-82205727.98158628,55909914.117188014,13.205101418371935,2.0
1,28,0.4909819639278556,0.4929859719438877,38814036.1802206,-237076584.08952147,482701197.9485265,-327597811.4038338,4902916.349357474,-29880386.114864398,60708052.93486709,-41115904.49139734,5.783972967642261,1.0
1,29,0.4929859719438877,0.4949899799599198,-40625222.531600274,246340368.31533977,-497888473.79954576,335429622.4746054,-2806014.2114803074,17031276.688282594,-34450157.38533758,23225487.03947276,6.233418633723117,3.0
1,30,0.4949899799599198,0.4989979959919839,3018083.9028479583,-18169873.51611373,36486468.2000304,-24426107.69784878,609555.5735322265,-3669565.288088919,7370571.951542525,-4937190.341233277,13.500875559045106,1.0
1,31,0.4989979959919839,0.501002004008016,-36244852.16027314,217880790.2850601,-436562854.0360571,291573372.61782414,8384176.163848957,-50410958.95758349,101041075.7309714,-67509588.44824134,5.851590661699497,1.0
1,32,0.501002004008016,0.503006012024048,57926556.77253765,-346017606.40461093,688978345.7565266,-457286705.6441749,-49245041.80006366,294672798.2103253,-587746103.5761746,390763481.5174465,5.937009169440403,1.0
1,33,0.503006012024048,0.5050100200400801,-24610644.848398548,146246102.06766596,-289665441.206287,191243506.43344,44528849.43745812,-264608138.77202576,524131137.6755912,-346058222.8446135,5.79649018246111,1.0
1,34,0.5050100200400801,0.5090180360721442,855225.2667430544,-5033293.021091914,9891773.671848668,-6480104.974218364,-1844859.6602453704,10873775.986950949,-21366780.835239757,13999265.696265709,13.672662155183424,1.0
1,35,0.5090180360721442,0.5170340681362725,-20794.08069183218,129702.89666409076,-251277.36342789463,162129.2339220628,66181.16739444283,-389326.8436663807,760338.5052250015,-490803.2681593753,26.30739342122037,3.0
1,36,0.5170340681362725,0.533066132264529,2184.4500516220323,-3626.0200915331006,6595.231382401161,-4121.960923334634,-4744.264016808591,22205.601382624773,-35609.90593567182,22346.934901575627,52.85034241939916,6.0
1,37,0.533066132264529,0.565130260521042,1583.7996594182205,-245.66807225074743,253.8943236722354,-156.63862721215978,-1098.2118581402603,1686.2777678635289,2883.1109205908083,-1723.2598493956186,105.65488312079404,13.0
1,38,0.565130260521042,0.627254509018036,1528.3857214542325,48.49740694105986,-266.6325348976648,150.38608014762778,-1482.4112947023712,3725.804564081544,-725.8389776814942,405.4233648335528,204.6891429106788,23.0
1,39,0.627254509018036,0.68937875751503,1669.9040145283643,-628.3488701579004,812.4291017553101,-423.0449706402685,-1169.7729951262868,2230.534485917332,1657.994150126625,-861.3846551624551,204.6719500310067,24.0
1,40,0.68937875751503,0.7054108216432865,-10177.984625016386,50930.63163390749,-73978.06878059536,35740.18995503124,-23053.150934953443,97461.39720661864,-136482.1235755419,65933.11025288851,52.985857075727,8.0
1,41,0.7054108216432865,0.7134268537074148,479997.4668610978,-2033707.581078345,2881233.4884450133,-1360709.210665782,843544.0070736791,-3588038.4480744125,5088132.713910921,-2402895.302536642,25.73347826475081,4.0
1,42,0.7134268537074148,0.7154308617234468,-8675296.759072755,36464818.98134574,-51081588.8560764,23852257.40910593,91926784.566486,-386598182.0363897,541947856.4514654,-253239039.63309813,3.700527889753828,1.0
1,43,0.7154308617234468,0.7174348697394789,-50937528.7845236,213682077.64269003,-298788625.4723532,139263845.89792213,-144771243.60181457,605942289.0222826,-845384622.7033736,393146494.5389511,4.192828383598567,0.0
1,44,0.7174348697394789,0.719438877755511,66860452.10262302,-278897747.46361864,387796102.8182838,-179735948.71756008,79940715.30983742,-333705203.9686199,464347497.4152306,-215378950.46959972,6.826939412190836,2.0
1,45,0.719438877755511,0.721442885771543,27765146.121478517,-115873588.5394589,161197062.97662446,-74747164.2412481,-138675043.33904448,577904240.8708681,-802764237.8909101,371704388.358408,6.525495282679778,0.0
1,46,0.721442885771543,0.7254509018036072,-29075108.99691687,120487138.99453528,-166425167.68855083,76626440.48275419,114149728.7835941,-473425436.539104,654495509.4079125,-301603587.47688144,13.636067511870902,2.0
1,47,0.7254509018036072,0.7294589178356713,28178881.59940447,-116278672.9466058,159945385.23583975,-73335719.654696,-118891060.39009611,490281915.37530017,-673929818.2310038,308787055.70158935,11.043141256649854,2.0
1,48,0.7294589178356713,0.7314629258517034,-51648346.58012718,212021768.22031423,-290114834.9352951,132323666.668927,156283617.87866563,-641411747.724525,877485395.7437564,-400147185.8491482,4.137791002986268,1.0
1,49,0.7314629258517034,0.7334669338677354,13699950.59576917,-55995768.416170254,76298180.90472068,-34653588.95131765,24781621.631535564,-102073423.39040528,140143412.61300102,-64134720.47723317,2.453915073981336,1.0
1,50,0.7334669338677354,0.7354709418837675,63554876.3303449,-259910587.60923,354313193.9575535,-161001031.13106593,-143728007.53770852,587158584.4411751,-799547221.0153012,362919583.8766128,2.6927164950339044,1.0
1,51,0.7354709418837675,0.7374749498997996,-60517709.35353826,246183855.9024133,-333809768.7462885,150873045.51672444,96880107.95962316,-394286507.9280498,534897196.12977576,-241883108.36261836,5.678217997000665,2.0
1,52,0.7374749498997996,0.7454909819639278,-241921.62989106087,985882.4722506392,-1326647.1657146506,593083.8602875267,-4738421.651862379,19091043.236063905,-25633776.78025889,11472829.574073074,26.62759815923979,3.0
1,53,0.7454909819639278,0.751503006012024,-1324.3596640303604,17672.48964347595,-27892.37721740752,12368.23353114292,587948.8895273539,-2343302.732915747,3118208.8071627403,-1383120.9708403628,19.80917251634976,2.0
1,54,0.751503006012024,0.8757515030060119,3905.107425206367,-3203.54297675707,-113.33647741744458,46.68568291621051,858.2782749809804,362.9872037257601,-429.0444095721374,168.17399037842867,409.40801510330425,48.0
1,55,0.8757515030060119,0.937875751503006,4139.197818556246,-4005.449884868669,802.3421201745191,-301.8449198285568,955.9696968463728,28.33260754156781,-46.91021392931822,22.72397998501385,204.7132430611109,23.0
1,56,0.937875751503006,0.969939879759519,-213.49306459849413,9917.58056829938,-14042.94035019056,4974.363023698633,4250.286999643469,-10509.259277687606,11188.684552586405,-3970.5536471455744,105.59896798893658,13.0
1,57,0.969939879759519,0.9859719438877754,107227.36816732802,-322394.3393990435,328567.9027566362,-112768.61955915712,-97315.86914999572,303632.3435239857,-312688.71172434534,107334.41931579448,53.01472493804529,6.0
1,58,0.9859719438877754,0.9939879759519036,-2906942.8180664326,8848769.824812219,-8973080.304441372,3031894.2905978933,2866911.2510095024,-8715570.906229608,8834836.535485096,-2985223.2353979666,25.716808061484507,4.0
1,59,0.9939879759519036,0.9979959919839678,-60333803.14934816,182171370.46176532,-183344003.1226664,61507089.509881705,58235536.7185924,-175826119.9485111,176956134.86632878,-59364610.24285159,10.786992464596455,1.0
1,60,0.9979959919839678,1.0,1311772376.5186386,-3942412868.4197135,3949522533.42725,-1318881398.9361749,-1313476539.0899558,3947573433.235018,-3954723337.098693,1320627395.453632,10.556710414291604,2.0
2,1,0.0,0.0040080160320641,1255.68,-2783.1839258495447,-131722.93660078084,18518173.54628181,965.62,-49.16803286553228,81052.7913679577,-11394493.19820664,12.0860302805889,2.0
2,2,0.0040080160320641,0.0080160320641282,1258.4947502589482,-4890.0244946721805,393933.7853204668,-25198943.82683528,963.888206643069,1247.0792947973268,-242360.9168839256,15502746.871408328,11.981762268203184,1.0
